date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,,,,,,,,,,
2021-01-02,11.2,6,18.4,0,,91,9.8,,1016.3,
2021-01-03,12.3,7.4,18.2,2.1,,130,8,,1014.5,
2021-01-04,9.2,7.5,11.4,14.9,,132,5.8,,1010.9,
2021-01-05,9.8,7,15.2,2.2,,135,8.6,,1014.8,
2021-01-06,10.6,9.9,12,13.3,,141,13.9,,1016.7,
2021-01-07,10.8,9.3,12.4,37.3,,120,6.9,,1014.5,
2021-01-08,13.4,11.2,16.6,42.7,,150,9.4,,1008.8,
2021-01-09,11.8,10.6,14.4,9.4,,333,2.8,,1011.9,
2021-01-10,13.9,10,17.4,16.4,,73,5.9,,1010.3,
2021-01-11,12.5,9,15.8,20.3,,326,6.4,,1011.2,
2021-01-12,8.6,6.2,12,2.1,,339,2.8,,1011.1,
2021-01-13,7.6,4.7,11.2,3.6,,11,3.7,,1010.8,
2021-01-14,4.7,-0.4,8.4,5.3,,110,6.4,,1011,
2021-01-15,4.1,-1.9,10.4,0,,45,3.8,,1012.1,
2021-01-16,2.4,-3.9,7.2,0,,20,5.4,,1012.7,
2021-01-17,-0.4,-5.1,4.8,0,,61,2.9,,1017.2,
2021-01-18,1.5,-2.2,7,0,,36,4.3,,1019.6,
2021-01-19,2.6,-2.6,9.6,0,,59,2.9,,1025.8,
2021-01-20,6.8,0.8,11.6,0.4,,121,8.2,,1027.2,
2021-01-21,10.1,7.6,13.8,3.1,,120,9.6,,1023.8,
2021-01-22,11.7,10.2,13.5,4.3,,132,12.9,,1018.9,
2021-01-23,11,8.3,13.8,12.7,,133,13.3,,1009.7,
2021-01-24,9.8,7.5,13.2,35.8,,141,16.1,,1005.2,
2021-01-25,10.1,8.3,13,23.9,,195,11.9,,1005.3,
2021-01-26,6.9,0.6,9.4,19.3,,338,7.8,,1005.7,
2021-01-27,2.5,-0.6,8,0,,340,7.8,,1012.9,
2021-01-28,2.7,-1.8,8.2,0,,77,4.4,,1016.4,
2021-01-29,9.2,4.5,13.8,10.3,,132,9.2,,1010.7,
2021-01-30,10.8,7.7,16,20.6,,254,7.5,,1004.1,
2021-01-31,11.8,7.8,16.8,13.9,,122,11.9,,1000.5,
2021-02-01,10.7,9.5,12.6,15.8,,136,9.3,,1002.3,
2021-02-02,11.4,8.1,15.2,2.1,,46,4.2,,1010.7,
2021-02-03,11.5,7,17.6,0,,57,3.7,,1017.9,
2021-02-04,11.7,7.2,17,0,,28,4.7,,1019.7,
2021-02-05,12.3,7.2,17.6,0,,16,3.9,,1019.8,
2021-02-06,13,6.6,19.6,0,,85,4,,1017.1,
2021-02-07,14.6,8.4,21.8,0.1,,133,7.6,,1009.7,
2021-02-08,13.4,10.1,17.8,11.9,,153,13.7,,1002.1,
2021-02-09,11.3,9.9,13.4,24.3,,148,13.6,,1009.3,
2021-02-10,13.3,9.8,17.8,7.2,,153,14.1,,1010.8,
2021-02-11,10.1,7.9,12,43.6,,123,9,,1008.2,
2021-02-12,6.8,3.8,9.9,0,,288,5.3,,1019.8,
2021-02-13,4.2,0.6,6.2,25.7,,77,6.7,,1018.4,
2021-02-14,-1,-4.9,2,6,,350,6.6,,1021.4,
2021-02-15,-0.7,-7.4,7.2,0,,6,6.8,,1030.3,
2021-02-16,1.4,-5.7,9.2,0,,17,3.8,,1027.8,
2021-02-17,5.2,-0.8,11.4,0,,39,4.2,,1023.5,
2021-02-18,7.5,3.2,14,0,,20,3.7,,1023.1,
2021-02-19,8.3,3.8,14.3,0,,67,4.9,,1026.5,
2021-02-20,9.5,6,14.4,0.1,,108,6.3,,1026.6,
2021-02-21,10.4,2.9,18.8,0,,84,3.3,,1027.7,
2021-02-22,10.9,4.6,18.2,0,,349,3.9,,1030.8,
2021-02-23,10.8,3.8,18.4,0,,18,3.2,,1032.5,
2021-02-24,12.3,5.6,20.4,0,,58,2.8,,1031,
2021-02-25,13.1,6.5,22.4,0,,18,4.1,,1030.6,
2021-02-26,14.1,6.8,21.4,0,,2,3.2,,1026.6,
2021-02-27,12.9,7.2,18.6,0,,6,3.7,,1021.1,
